len mPid  thresh
0.635 0.846787254143419  0.7623762
0.64 0.845949765758268  0.7619048
0.645 0.845071578876865  0.7605634
0.65 0.844230128873508  0.7592593
0.655 0.843474302880904  0.7582418
0.66 0.842714693359558  0.7567568
0.665 0.841894540021128  0.7553191
0.67 0.841082090452812  0.7542857
0.675 0.84029516512395  0.7534247
0.68 0.839547522584263  0.752381
0.685 0.838705478163594  0.751634
0.69 0.837883216352634  0.75
0.695 0.837097271204762  0.75
0.7 0.836332667027032  0.7486339
0.705 0.835552691879322  0.7471264
0.71 0.834813590672351  0.7454545
0.715 0.834080639326278  0.7440758
0.72 0.833245986491045  0.7430556
0.725 0.832413568181558  0.742268
0.73 0.831604607087221  0.7411765
0.735 0.830815098917016  0.7401575
0.74 0.830012174532802  0.7391304
0.745 0.829248049142055  0.7377049
0.75 0.82848719537221  0.7368421
0.755 0.827762218592258  0.7356608
0.76 0.827043994476041  0.7346939
0.765 0.826386734199375  0.7333333
0.77 0.825630254724165  0.7322034
0.775 0.824868608929138  0.7311828
0.78 0.824161049854083  0.7295082
0.785 0.823410487068863  0.7288136
0.79 0.82265759237798  0.7282609
0.795 0.821896388955551  0.7268519
0.8 0.821109606066581  0.7264957
0.805 0.820358680463952  0.7254237
0.81 0.819616931677627  0.7240143
0.815 0.818858291544295  0.7222222
0.82 0.818012202592883  0.7208122
0.825 0.817269265915141  0.72
0.83 0.816588092618403  0.7183099
0.835 0.815895747664326  0.7173913
0.84 0.815183573804338  0.7165992
0.845 0.814506658012766  0.7157895
0.85 0.813805839326327  0.7142857
0.855 0.813109901377758  0.7136564
0.86 0.812424921576967  0.7128713
0.865 0.811677116795052  0.7117117
0.87 0.810953424309122  0.7105263
0.875 0.810257968451189  0.7096774
0.88 0.809583489103489  0.7085714
0.885 0.808925081283107  0.707483
0.89 0.808208482701927  0.7065217
0.895 0.807485167433921  0.7054795
0.9 0.806865677331255  0.7040816
0.905 0.806117505723817  0.7034884
0.91 0.805448226135987  0.7024793
0.915 0.804784678096485  0.7011494
0.92 0.804075834993091  0.7
0.925 0.803378998998614  0.6995885
0.93 0.802652909030009  0.6976744
0.935 0.80194831160102  0.6959459
0.94 0.801278949423236  0.6944444
0.945 0.800562479368458  0.6940299
0.95 0.799914562055792  0.6933333
0.955 0.799268574503937  0.6923077
0.96 0.798607975546455  0.6914894
0.965 0.797893477004654  0.69
0.97 0.797208648109422  0.6885246
0.975 0.796551212798157  0.6875
0.98 0.795960295105714  0.6878307
0.985 0.795378552186949  0.6861702
0.99 0.794706136730902  0.6858054
0.995 0.794009770512287  0.6849015
1 0.793364640975843  0.683871
